"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","start_epoch","domContentLoadedEventStart","domContentLoadedEventEnd","loadEventStart","loadEventEnd","URL","TTFB","basePageSSLTime","connections","final_base_page_request","final_base_page_request_id","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","browserVersion","firstPaint","eventName","osVersion","domElements","domInteractive","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","cpu.EvaluateScript","cpu.Layout","cpu.CommitLoad","cpu.ResourceReceiveResponse","cpu.UpdateLayerTree","cpu.v8.compile","cpu.CompositeLayers","cpu.ResourceReceivedData","cpu.EventDispatch","cpu.UpdateLayer","cpu.ResourceFinish","cpu.Paint","cpu.UpdateLayoutTree","cpu.ResourceSendRequest","cpu.ParseHTML","cpu.Idle","chromeUserTiming.fetchStart","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.responseEnd","chromeUserTiming.domLoading","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaint","TimeToInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.other","requests.other","bytesUncompressed.other","id",
"309","309","781","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968463329.996","351","351","352","352","https://perflab.herokuapp.com/","280","150","3","4","11983.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","397","Step_1","Android 6.0.1","8","351","462","462","462","462","462","1","41","0","1","1","0","2","0","1","0","0","0","1","1","4","727","0","329","329","335","341","351","351","351","352","352","352","393","397","397","397","397","397","1","1","3233","18517","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"227","227","444","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968485787.585","305","305","308","308","https://perflab.herokuapp.com/favicon.ico","443","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","364","Step_1","Android 6.0.1","8","305","382","382","382","382","382","2","47","0","0","1","0","6","0","2","1","0","0","2","1","10","372","20","277","277","276","294","304","305","305","307","307","307","355","363","363","363","363","363","1","1","731000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"296","296","820","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968511051.177","338","338","339","339","https://perflab.herokuapp.com/","264","166","3","4","13064.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","395","Step_1","Android 6.0.1","8","338","378","378","378","378","378","2","51","3","1","1","0","2","0","1","1","0","0","1","1","3","752","0","310","310","315","326","337","337","338","339","339","339","390","395","395","395","395","395","2","1","2913","16781","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"207","207","440","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968534481.055","268","268","271","272","https://perflab.herokuapp.com/manifest.json","439","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","325","Step_1","Android 6.0.1","8","268","332","332","332","332","332","3","45","0","0","2","1","2","0","1","0","0","0","2","1","12","371","3","236","237","237","250","267","268","268","271","271","271","317","325","325","325","325","325","2","1","731000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"262","262","734","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968559615.356","336","336","338","338","https://perflab.herokuapp.com/","220","167","3","4","14119.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","393","Step_1","Android 6.0.1","8","335","406","406","406","406","406","2","49","1","1","1","1","2","3","2","0","0","0","1","1","6","664","2","298","298","293","319","334","335","335","337","337","338","386","392","392","392","392","404","3","1","3151","12785","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"213","213","372","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968583901.828","274","274","276","276","https://perflab.herokuapp.com/manifest.json","371","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","323","Step_1","Android 6.0.1","8","274","341","341","341","341","341","1","45","0","0","1","0","1","0","1","0","0","0","2","0","3","318","4","241","241","252","262","274","274","274","275","276","276","320","323","323","323","323","323","3","1","731000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"323","323","805","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968608794.939","379","379","380","380","https://perflab.herokuapp.com/","293","146","3","4","15219.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","437","Step_1","Android 6.0.1","8","378","452","452","452","452","452","2","52","1","2","1","0","1","0","1","0","1","0","1","1","6","736","0","354","354","343","369","378","379","379","380","380","380","433","437","437","437","437","437","4","1","3164","17900","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"228","228","392","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968632725.964","249","249","252","252","https://perflab.herokuapp.com/favicon.ico","389","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","287","Step_1","Android 6.0.1","8","249","286","286","286","286","286","2","32","1","1","1","1","1","0","1","0","0","0","1","2","7","343","2","219","219","225","239","249","249","249","252","252","252","284","287","287","287","288","288","4","1","243666","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"316","316","814","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968657350.145","385","385","386","386","https://perflab.herokuapp.com/","282","149","3","4","16275.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","454","Step_1","Android 6.0.1","8","384","448","448","448","448","448","2","57","0","2","4","0","11","0","1","0","0","0","1","1","8","725","2","355","355","347","375","384","384","385","386","386","386","443","453","454","454","454","454","5","1","3045","15794","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"194","194","370","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968681034.595","289","290","294","294","https://perflab.herokuapp.com/manifest.json","369","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","347","Step_1","Android 6.0.1","8","289","353","353","353","353","353","3","49","0","0","9","0","21","0","1","0","0","0","3","1","8","274","22","263","263","261","277","289","289","290","294","294","294","344","347","347","347","347","347","5","1","731000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"221","221","774","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968706848.11","302","302","304","304","https://perflab.herokuapp.com/","191","139","3","4","17309.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","361","Step_1","Android 6.0.1","8","302","383","383","383","383","383","2","52","0","1","1","0","3","0","1","0","0","0","1","0","3","707","10","275","275","276","291","302","302","302","303","303","303","356","361","361","361","361","368","6","1","2778","17900","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"157","157","346","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968730157.491","225","225","227","227","https://perflab.herokuapp.com/manifest.json","344","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","265","Step_1","Android 6.0.1","8","225","250","250","250","250","250","1","35","0","0","1","0","1","0","1","0","0","0","1","1","4","301","7","209","209","209","218","224","225","225","226","226","226","261","264","264","264","264","264","6","1","365500","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"327","327","841","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968755232.259","401","401","403","403","https://perflab.herokuapp.com/","299","172","3","4","18328.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","440","Step_1","Android 6.0.1","8","401","466","466","466","466","466","1","32","1","2","1","0","6","0","2","0","0","0","1","1","7","786","16","378","378","389","391","400","400","400","402","402","402","434","439","439","439","439","439","7","1","2988","19178","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"219","219","515","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968778626.281","312","312","314","314","https://perflab.herokuapp.com/manifest.json","512","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","378","Step_1","Android 6.0.1","8","311","381","381","381","381","381","3","60","0","0","3","1","3","0","1","0","0","0","1","0","5","437","1","274","274","272","294","311","312","312","313","314","314","374","378","378","378","378","378","7","1","243666","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"344","344","937","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968803730.459","412","412","413","414","https://perflab.herokuapp.com/","301","168","3","4","19456.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","462","Step_1","Android 6.0.1","8","412","496","496","496","496","496","5","45","0","2","1","0","1","0","2","0","1","0","1","0","4","874","3","372","373","370","397","411","412","412","413","413","413","458","461","461","461","461","461","8","1","2547","12488","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
"215","215","433","354","0","731","0","3","0","1","1","1","99999","0","1","1","1968827453.27","274","274","276","277","https://perflab.herokuapp.com/manifest.json","432","","2","","","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","334","Step_1","Android 6.0.1","8","274","357","357","357","357","357","2","53","0","0","1","1","4","0","1","0","0","0","2","1","5","362","2","246","246","246","265","274","274","274","276","276","276","330","334","334","334","334","334","8","1","731000","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","405","1","405","170405_8B_1B36",
"397","397","852","679","148","1620","537","7","1","5","1","1","99999","0","0","1","1968853675.458","450","450","451","451","https://perflab.herokuapp.com/","348","162","3","4","20526.3","0","0","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","510","Step_1","Android 6.0.1","8","449","497","497","497","497","497","2","53","0","1","1","0","2","0","2","0","0","0","1","1","8","780","3","405","405","407","430","448","449","449","450","450","450","505","509","509","509","509","512","9","1","3214","10959","0","0","0","0","0","537","4","390","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","581","1","405","170405_8B_1B36",
