"loadTime","docTime","fullyLoaded","bytesOut","bytesOutDoc","bytesIn","bytesInDoc","requests","requestsDoc","responses_200","responses_404","responses_other","result","testStartOffset","cached","optimization_checked","start_epoch","domContentLoadedEventStart","domContentLoadedEventEnd","loadEventStart","loadEventEnd","URL","TTFB","basePageSSLTime","connections","final_base_page_request","final_base_page_request_id","score_cache","score_cdn","score_gzip","score_cookies","score_keep-alive","score_minify","score_combine","score_compress","score_etags","score_progressive_jpeg","gzip_total","gzip_savings","minify_total","minify_savings","image_total","image_savings","browserVersion","firstPaint","eventName","osVersion","domElements","domInteractive","lastVisualChange","visualComplete","render","SpeedIndex","visualComplete85","cpu.EvaluateScript","cpu.Layout","cpu.CommitLoad","cpu.ResourceReceiveResponse","cpu.UpdateLayerTree","cpu.CompositeLayers","cpu.ResourceReceivedData","cpu.EventDispatch","cpu.UpdateLayer","cpu.ResourceFinish","cpu.Paint","cpu.UpdateLayoutTree","cpu.ResourceSendRequest","cpu.ParseHTML","cpu.Idle","chromeUserTiming.fetchStart","chromeUserTiming.responseEnd","chromeUserTiming.unloadEventStart","chromeUserTiming.unloadEventEnd","chromeUserTiming.domLoading","chromeUserTiming.domInteractive","chromeUserTiming.domContentLoadedEventStart","chromeUserTiming.domContentLoadedEventEnd","chromeUserTiming.domComplete","chromeUserTiming.loadEventStart","chromeUserTiming.loadEventEnd","chromeUserTiming.firstLayout","chromeUserTiming.firstPaint","chromeUserTiming.firstTextPaint","chromeUserTiming.firstContentfulPaint","chromeUserTiming.firstMeaningfulPaint","TimeToInteractive","run","step","effectiveBps","effectiveBpsDoc","domTime","aft","titleTime","domLoading","server_rtt","bytes.html","requests.html","bytesUncompressed.html","bytes.js","requests.js","bytesUncompressed.js","bytes.css","requests.css","bytesUncompressed.css","bytes.image","requests.image","bytesUncompressed.image","bytes.flash","requests.flash","bytesUncompressed.flash","bytes.font","requests.font","bytesUncompressed.font","bytes.other","requests.other","bytesUncompressed.other","id",
"260","260","390","342","148","725","382","2","1","1","1","0","99999","0","0","1","1968903473.196","302","302","304","304","https://perflab.herokuapp.com/pageWitoutSW.html","222","156","1","2","21646.3","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","353","Step_1","Android 6.0.1","6","302","416","416","416","416","416","0","46","0","1","0","1","0","1","0","0","0","1","0","4","335","1","265","269","269","290","302","302","302","304","304","304","350","353","353","353","353","353","1","1","4315","10052","0","0","0","0","0","382","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"289","289","420","342","148","490","147","2","1","0","1","1","304","0","1","1","1968925923.202","404","404","407","407","https://perflab.herokuapp.com/pageWitoutSW.html","251","185","1","2","22161.3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","0","Step_1","Android 6.0.1","6","404","449","449","449","449","449","0","18","0","1","0","8","0","2","0","0","0","1","0","3","386","4","363","376","376","395","404","404","404","406","406","407","465","468","469","469","469","469","1","1","2899","3868","0","0","0","0","0","147","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"308","308","432","342","148","725","382","2","1","1","1","0","99999","0","0","1","1968951022.283","348","348","354","354","https://perflab.herokuapp.com/pageWitoutSW.html","272","147","1","2","22708.3","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","398","Step_1","Android 6.0.1","6","348","461","461","461","461","461","0","38","0","0","1","5","0","0","0","0","1","1","0","9","376","1","309","320","320","336","347","347","347","353","353","353","392","397","397","397","397","397","2","1","4531","10611","0","0","0","0","0","382","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"275","275","419","342","148","490","147","2","1","0","1","1","304","0","1","1","1968974429.396","339","339","340","340","https://perflab.herokuapp.com/pageWitoutSW.html","228","173","1","2","23190.3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","395","Step_1","Android 6.0.1","6","338","360","360","360","360","360","0","47","0","2","0","1","0","0","0","0","0","1","0","2","365","1","300","295","296","316","338","338","338","339","339","340","392","395","395","395","395","425","2","1","2565","3127","0","0","0","0","0","147","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"313","313","426","342","148","725","382","2","1","1","1","0","99999","0","0","1","1968999615.512","395","395","396","396","https://perflab.herokuapp.com/pageWitoutSW.html","281","164","1","2","23663.3","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","0","Step_1","Android 6.0.1","6","395","430","430","430","430","430","0","31","1","2","0","0","0","0","0","0","0","1","0","2","388","1","372","367","367","387","395","395","395","396","396","396","431","435","436","436","436","436","3","1","5000","11937","0","0","0","0","0","382","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"279","279","429","342","148","490","147","2","1","0","1","1","304","0","1","1","1969021988.237","351","351","358","358","https://perflab.herokuapp.com/pageWitoutSW.html","221","155","1","2","24158.3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","409","Step_1","Android 6.0.1","6","350","392","392","392","392","392","0","45","1","0","1","3","0","0","0","0","0","5","7","16","350","3","305","308","309","325","349","350","350","357","357","357","404","408","408","408","408","409","3","1","2355","2534","0","0","0","0","0","147","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"310","310","453","342","148","725","382","2","1","1","1","0","99999","0","0","1","1969046604.997","395","395","398","398","https://perflab.herokuapp.com/pageWitoutSW.html","253","161","1","2","24738.3","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","453","Step_1","Android 6.0.1","6","395","479","479","479","479","479","0","43","0","0","2","6","0","0","0","0","0","1","0","6","393","7","333","344","344","371","394","394","394","397","397","397","450","452","452","452","452","463","4","1","3625","6701","0","0","0","0","0","382","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"247","247","393","342","148","490","147","2","1","0","1","1","304","0","1","1","1969068354.073","336","337","339","339","https://perflab.herokuapp.com/pageWitoutSW.html","217","160","1","2","25210.3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","0","Step_1","Android 6.0.1","6","336","372","372","372","372","372","0","47","1","0","0","1","0","0","0","0","0","1","0","5","337","4","319","311","311","325","336","336","336","339","339","339","393","398","398","398","398","400","4","1","2784","4900","0","0","0","0","0","147","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"303","303","426","342","148","725","382","2","1","1","1","0","99999","0","0","1","1969093346.525","378","378","379","379","https://perflab.herokuapp.com/pageWitoutSW.html","258","156","1","2","25750.3","-1","-1","-1","-1","100","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","424","Step_1","Android 6.0.1","6","378","427","427","427","427","427","0","37","2","1","0","3","0","0","0","0","0","1","0","8","373","0","333","343","343","362","377","377","378","378","378","379","420","424","424","424","424","424","5","1","4315","8488","0","0","0","0","0","382","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
"219","219","341","342","148","490","147","2","1","0","1","1","304","0","1","1","1969116121.46","294","294","295","295","https://perflab.herokuapp.com/pageWitoutSW.html","188","128","1","2","26237.3","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","-1","-1","0","0","57.0.2987.132","334","Step_1","Android 6.0.1","6","294","300","300","300","300","300","0","37","0","0","1","2","0","0","0","0","0","1","0","5","295","1","263","266","266","280","293","293","293","294","295","295","331","333","333","333","333","333","5","1","3202","4741","0","0","0","0","0","147","1","235","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","170405_46_1B6H",
